epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,104.326,0.95431,2.01994,0.00181,0.37777,0.28952,0.24852,0.18692,0.98768,3.00951,0.00207,0.0001486,0.0001486,0.0001486
131,105.113,1.06138,1.90279,0.00163,0.37777,0.28952,0.24852,0.18692,0.98768,3.00951,0.00207,0.000142,0.000142,0.000142
132,105.74,0.99221,1.82541,0.00156,0.38293,0.28682,0.24869,0.19181,0.98828,3.00315,0.00208,0.0001354,0.0001354,0.0001354
133,106.326,0.94582,1.8454,0.00171,0.38293,0.28682,0.24869,0.19181,0.98828,3.00315,0.00208,0.0001288,0.0001288,0.0001288
134,106.955,1.01996,1.8532,0.00154,0.38733,0.24764,0.24876,0.19291,0.97787,2.99851,0.0021,0.0001222,0.0001222,0.0001222
135,107.559,1.03107,1.83307,0.0015,0.38733,0.24764,0.24876,0.19291,0.97787,2.99851,0.0021,0.0001156,0.0001156,0.0001156
136,108.391,1.12612,1.77641,0.00131,0.38857,0.24514,0.24866,0.18924,0.98211,2.99932,0.00209,0.000109,0.000109,0.000109
137,108.982,1.10492,1.99893,0.00145,0.38857,0.24514,0.24866,0.18924,0.98211,2.99932,0.00209,0.0001024,0.0001024,0.0001024
138,109.588,0.94672,1.84118,0.00172,0.38798,0.24374,0.24835,0.19269,0.97698,2.99559,0.00207,9.58e-05,9.58e-05,9.58e-05
139,110.194,1.08373,2.04842,0.00167,0.38798,0.24374,0.24835,0.19269,0.97698,2.99559,0.00207,8.92e-05,8.92e-05,8.92e-05
140,110.818,1.03586,1.85323,0.00155,0.39002,0.24407,0.24775,0.19255,0.97132,2.98213,0.00208,8.26e-05,8.26e-05,8.26e-05
141,112.944,1.17278,1.9609,0.00154,0.39002,0.24407,0.24775,0.19255,0.97132,2.98213,0.00208,7.6e-05,7.6e-05,7.6e-05
142,115.07,0.86654,1.77865,0.00149,0.39259,0.25404,0.25052,0.19438,0.95284,2.98964,0.00206,6.94e-05,6.94e-05,6.94e-05
143,116.351,0.84346,1.74179,0.00151,0.39259,0.25404,0.25052,0.19438,0.95284,2.98964,0.00206,6.28e-05,6.28e-05,6.28e-05
144,116.995,0.92949,1.74832,0.00151,0.38888,0.245,0.24962,0.19378,0.94638,2.99169,0.00206,5.62e-05,5.62e-05,5.62e-05
145,117.592,0.97314,1.88832,0.00149,0.38888,0.245,0.24962,0.19378,0.94638,2.99169,0.00206,4.96e-05,4.96e-05,4.96e-05
146,118.227,0.95249,1.75437,0.00144,0.39213,0.25645,0.24963,0.19392,0.94234,2.98991,0.00203,4.3e-05,4.3e-05,4.3e-05
